pharmacy_id,pharmacy_type,establishment_year,province,region,onboarding_date,acquisition_channel,credit_tier
PH0047,Quầy thuốc,2022.0,Nam Định,Bắc,2024-05-07,Hotline,C
PH0048,Quầy thuốc,2017.0,Cần Thơ,Nam,2024-08-23,Sales rep,A
PH0049,Bệnh viện,2002.0,Khánh Hòa,Trung,2025-01-28,Sales rep,B
PH0050,Bệnh viện,2006.0,Hải Phòng,Bắc,2021-02-17,Web portal,B
PH0051,Quầy thuốc,2024.0,Cần Thơ,Nam,20/09/2024,Referral,B
PH0052,Nhà thuốc,2016.0,An Giang,Nam,2021-02-02,Hotline,B
PH0053,Khác,2003.0,Bình Dương,Nam,09/11/2022,Referral,B
PH0054,Nhà thuốc,2003.0,Hải Phòng,Bắc,22/05/2024,Referral,C
PH0055,Nhà thuốc,2024.0,Đà Nẵng,Trung,11/05/2025,Sales rep,A
PH0056,Phòng khám,2000.0,Thanh Hóa,Trung,02-20-2020,Hotline,C
PH0057,Phòng khám,2021.0,Đà Nẵng,Trung,14/10/2021,Referral,A
PH0058,Nhà thuốc,1995.0,Quảng Ninh,Bắc,2020-01-08,Web portal,C
PH0059,Nhà thuốc,2013.0,Thái Nguyên,Bắc,2021-11-21,Web portal,C
PH0060,Quầy thuốc,2099.0,Nghệ An,Trung,2023-04-16,Web portal,B
PH0061,Quầy thuốc,2005.0,TP.HCM,Nam,18/09/2024,Sales rep,B
PH0062,Nhà thuốc,2017.0,Tiền Giang,Nam,2022-03-30,Hotline,B
PH0063,Bệnh viện,2022.0,Quảng Ninh,Bắc,2022-01-02,Hotline,B
PH0064,Phòng khám,2017.0,Lạng Sơn,Bắc,05-13-2020,Sales rep,B
PH0065,Nhà thuốc,1998.0,Đà Nẵng,Trung,2025-04-23,Web portal,B
PH0066,,2001.0,Hải Phòng,Bắc,01-30-2020,Web portal,C
PH0067,Quầy thuốc,2024.0,Bắc Ninh,Bắc,05-23-2025,Web portal,C
PH0068,Phòng khám,2003.0,Hải Dương,Bắc,2023-09-08,Hotline,A
PH0069,Nhà thuốc,2019.0,Thái Nguyên,Bắc,2023-03-07,Web portal,A
PH0070,Nhà thuốc,2010.0,Tiền Giang,Nam,2021-02-22,Hotline,C
PH0071,Phòng khám,2024.0,Hải Phòng,Bắc,2025-05-21,Sales rep,C
PH0072,Nhà thuốc,1999.0,Đà Nẵng,Trung,2022-08-29,Referral,B
PH0073,Nhà thuốc,2023.0,Đà Nẵng,Trung,24/01/2023,Hotline,B
PH0074,Nhà thuốc,2004.0,Hải Dương,Bắc,2025-06-26,Web portal,A
PH0075,Quầy thuốc,2006.0,An Giang,Nam,2023-10-30,Referral,A
PH0076,Nhà thuốc,2020.0,Cần Thơ,Nam,12/08/2021,Web portal,A
PH0077,Nhà thuốc,2001.0,Tiền Giang,Nam,29/03/2022,,A
PH0078,Phòng khám,2021.0,Khánh Hòa,Trung,2025-04-16,Referral,
PH0079,Quầy thuốc,1900.0,Thừa Thiên Huế,Trung,2023-06-16,Hotline,B
PH0080,,,Hải Phòng,Bắc,2023-02-13,Sales rep,B
PH0081,Nhà thuốc,1999.0,,Bắc,26/01/2025,Web portal,A
PH0082,Nhà thuốc,1998.0,Quảng Ninh,Bắc,2024-06-29,Hotline,B
PH0083,Nhà thuốc,2014.0,Nghệ An,Trung,09-10-2020,Hotline,A
PH0084,Quầy thuốc,2009.0,Tiền Giang,Nam,2024-09-06,Referral,C
PH0085,Nhà thuốc,2010.0,Tiền Giang,Nam,2023-08-10,Web portal,B
PH0086,Quầy thuốc,2030.0,Bắc Ninh,Bắc,2021-08-27,Sales rep,B
PH0087,Nhà thuốc,1995.0,Bắc Ninh,Bắc,2021-12-02,Web portal,B
PH0088,Nhà thuốc,2019.0,Đồng Nai,Nam,2021-05-23,Hotline,C
PH0089,Quầy thuốc,2006.0,Hải Phòng,Bắc,2024-10-09,Web portal,B
PH0090,Nhà thuốc,2021.0,An Giang,Nam,2021-11-09,,B
PH0091,Nhà thuốc,2012.0,Long An,Nam,2020-07-11,Sales rep,C
PH0092,Quầy thuốc,2020.0,Khánh Hòa,Trung,2023-09-19,Referral,C
PH0093,Phòng khám,2003.0,Nam Định,Bắc,2023-05-18,Sales rep,A
PH0094,Khác,2007.0,Tiền Giang,Nam,2024-10-03,Referral,B
PH0095,Khác,2008.0,Quảng Ninh,Bắc,2020-09-22,Referral,A
PH0096,Nhà thuốc,2014.0,Quảng Nam,Trung,2023-10-26,Hotline,B
PH0097,Nhà thuốc,2007.0,Khánh Hòa,Trung,24/07/2020,Referral,A
PH0098,Nhà thuốc,2007.0,Quảng Nam,Trung,2022-07-09,Web portal,A
PH0099,,2011.0,Thanh Hóa,Trung,2022-08-09,Sales rep,B
PH0100,Phòng khám,2003.0,Nam Định,Bắc,14/12/2020,Web portal,B
PH0101,,1997.0,Hải Dương,Bắc,2022-02-09,Web portal,B
PH0102,Nhà thuốc,2005.0,Đồng Nai,Nam,2024-01-16,Web portal,B
PH0103,Quầy thuốc,2004.0,Quảng Ninh,Bắc,14/11/2020,Sales rep,C
PH0104,Nhà thuốc,2009.0,Đồng Nai,Nam,27/05/2022,Referral,C
PH0105,Nhà thuốc,2010.0,TP.HCM,Nam,2024-03-04,Web portal,B
PH0106,Quầy thuốc,2017.0,Nam Định,Bắc,2024-11-20,Hotline,
PH0107,Bệnh viện,2012.0,Khánh Hòa,Trung,2024-06-12,Web portal,A
PH0108,Nhà thuốc,2024.0,Bình Định,Trung,2025-06-21,Sales rep,A
PH0109,Nhà thuốc,2008.0,Đồng Nai,Nam,2020-05-15,,A
PH0110,Nhà thuốc,2017.0,Tiền Giang,Nam,2024-06-10,Hotline,B
PH0111,Phòng khám,2018.0,Hải Phòng,Bắc,2022-11-03,Web portal,C
PH0112,Nhà thuốc,2010.0,Hải Phòng,Bắc,2021-03-14,Hotline,B
PH0113,N/A,2012.0,Lạng Sơn,Bắc,2022-06-11,Sales rep,B
PH0114,Quầy thuốc,2022.0,Hà Nội,Bắc,2024-01-16,Web portal,C
PH0115,Quầy thuốc,2014.0,Nam Định,Bắc,2024-06-27,Referral,C
PH0116,Nhà thuốc,2009.0,Nghệ An,Trung,2020-06-05,Hotline,A
PH0117,Nhà thuốc,1998.0,Cần Thơ,Nam,2025-02-27,Sales rep,B
PH0118,Nhà thuốc,2001.0,Bình Định,Trung,2021-01-12,Referral,A
PH0119,Nhà thuốc,2000.0,Quảng Ninh,Bắc,2021-11-16,Hotline,B
PH0120,Nhà thuốc,2009.0,Tiền Giang,Nam,2022-05-04,Referral,B
PH0121,Phòng khám,2020.0,An Giang,Nam,2023-12-11,Web portal,C
PH0122,Phòng khám,2017.0,An Giang,Nam,14/01/2021,Referral,B
PH0123,Nhà thuốc,2000.0,Hải Dương,Bắc,2025-06-08,Hotline,A
PH0124,Phòng khám,2011.0,Lạng Sơn,Bắc,2024-01-11,Sales rep,B
PH0125,Nhà thuốc,1998.0,Khánh Hòa,Trung,2023-11-09,Hotline,B
PH0126,Quầy thuốc,,Thanh Hóa,Trung,2024-12-20,Referral,B
PH0127,Quầy thuốc,2002.0,Tiền Giang,Nam,2020-02-21,Referral,B
PH0128,Nhà thuốc,1995.0,Long An,Nam,2021-11-15,Sales rep,B
PH0129,Nhà thuốc,,Hải Dương,Bắc,2020-09-26,,B
PH0130,Nhà thuốc,1999.0,Đồng Nai,Nam,2020-12-03,Referral,
PH0131,Quầy thuốc,,Hải Dương,Bắc,2023-03-06,Sales rep,B
PH0132,Quầy thuốc,2013.0,Bắc Ninh,Bắc,2023-01-30,Sales rep,
PH0133,Quầy thuốc,2004.0,Tiền Giang,Nam,2023-08-03,Sales rep,B
PH0134,,2023.0,Lạng Sơn,Bắc,01-08-2024,Sales rep,C
PH0135,Quầy thuốc,1996.0,,Bắc,04-03-2024,Web portal,
PH0136,Nhà thuốc,1996.0,Hải Dương,Bắc,2022-02-01,Hotline,C
PH0137,Bệnh viện,2008.0,Cần Thơ,Nam,06-21-2023,Sales rep,B
PH0138,Khác,2024.0,Tiền Giang,Nam,2024-10-18,Sales rep,B
PH0139,Phòng khám,2014.0,Nghệ An,Trung,2020-01-04,Referral,C
PH0140,Quầy thuốc,2003.0,Thừa Thiên Huế,Trung,2020-02-27,Referral,B
PH0141,,2023.0,Long An,Nam,2023-08-25,Sales rep,B
PH0142,Phòng khám,2005.0,Cần Thơ,Nam,2024-07-13,Referral,B
PH0143,Phòng khám,2012.0,Hải Phòng,Bắc,2022-09-25,Web portal,C
PH0144,Nhà thuốc,2012.0,An Giang,Nam,2023-07-21,Referral,C
PH0145,Nhà thuốc,2016.0,Bình Định,Trung,2025-06-04,Sales rep,C
PH0146,Quầy thuốc,2022.0,Bình Định,Trung,2024-05-03,Web portal,C
PH0147,Nhà thuốc,2010.0,Thanh Hóa,Trung,08-17-2020,Sales rep,
PH0148,Nhà thuốc,2002.0,Đồng Nai,Nam,2023-11-16,Sales rep,C
PH0149,Nhà thuốc,,Nghệ An,Trung,2020-10-08,Sales rep,B
PH0150,Nhà thuốc,1999.0,Bà Rịa - Vũng Tàu,Nam,11-15-2020,Web portal,B
PH0151,Nhà thuốc,2023.0,Bà Rịa - Vũng Tàu,Nam,2023-12-25,Hotline,B
PH0152,Nhà thuốc,2004.0,Hải Dương,Bắc,2022-04-20,Sales rep,B
PH0153,,2016.0,Đà Nẵng,Trung,09-10-2022,Web portal,A
PH0154,Phòng khám,,Nghệ An,Trung,2024-06-15,Referral,B
PH0155,Bệnh viện,1999.0,Tiền Giang,Nam,01-16-2021,Web portal,C
PH0156,,1997.0,Bình Định,Trung,2023-09-16,Hotline,A
PH0157,Quầy thuốc,2010.0,Đắk Lắk,Trung,2020-10-03,Referral,B
PH0158,Phòng khám,2013.0,Quảng Nam,Trung,2023-01-16,Referral,C
PH0159,,2021.0,Tiền Giang,Nam,03/08/2022,Hotline,B
PH0160,Quầy thuốc,2023.0,Quảng Nam,Trung,2023-04-26,Web portal,B
PH0161,Nhà thuốc,2002.0,Long An,Nam,2024-04-18,Web portal,B
PH0162,Nhà thuốc,1995.0,Bình Dương,Nam,2023-12-13,Referral,
PH0163,Quầy thuốc,2015.0,Hà Nội,Bắc,2021-10-24,Web portal,B
PH0164,Nhà thuốc,2022.0,Thừa Thiên Huế,Trung,2022-09-19,Sales rep,C
PH0165,Quầy thuốc,2022.0,Tiền Giang,Nam,2023-02-28,Hotline,A
PH0166,Quầy thuốc,2001.0,Khánh Hòa,Trung,2020-07-11,Referral,C
PH0167,Nhà thuốc,2019.0,Bình Dương,Nam,2023-02-10,Web portal,A
PH0168,Quầy thuốc,,Thái Nguyên,Bắc,2024-09-05,Web portal,C
PH0169,Nhà thuốc,2004.0,Đắk Lắk,Trung,2023-05-12,Referral,B
PH0170,Nhà thuốc,2017.0,Bình Định,Trung,2024-01-10,Sales rep,B
PH0171,Nhà thuốc,2016.0,Quảng Nam,Trung,2020-05-22,Hotline,
PH0172,Nhà thuốc,2020.0,Hải Phòng,Bắc,2023-01-19,Referral,C
PH0173,Phòng khám,2022.0,Cần Thơ,Nam,2024-04-19,Referral,B
PH0174,Nhà thuốc,1998.0,Bình Dương,Nam,2022-05-16,Web portal,B
PH0175,Nhà thuốc,2020.0,Quảng Nam,Trung,2021-03-03,Sales rep,A
PH0176,Quầy thuốc,2017.0,Lạng Sơn,Bắc,2025-02-16,Sales rep,B
PH0177,Quầy thuốc,2013.0,Bà Rịa - Vũng Tàu,Nam,2021-10-18,Sales rep,B
PH0178,Nhà thuốc,1999.0,Hải Dương,Bắc,2020-02-06,,C
PH0179,Nhà thuốc,2020.0,TP.HCM,Nam,12-07-2020,Web portal,C
PH0180,Quầy thuốc,2019.0,Lạng Sơn,Bắc,02-23-2025,Referral,B
PH0181,Quầy thuốc,2022.0,Quảng Ninh,Bắc,31/05/2022,Hotline,A
PH0182,Quầy thuốc,2010.0,Tiền Giang,Nam,2022-05-14,Web portal,B
PH0183,Nhà thuốc,2008.0,Quảng Nam,Trung,2021-09-13,,B
PH0184,Quầy thuốc,1995.0,Quảng Nam,Trung,2023-10-31,Hotline,B
PH0185,Phòng khám,2000.0,Lạng Sơn,Bắc,2024-01-18,Referral,A
PH0186,Quầy thuốc,2006.0,TP.HCM,Nam,2024-08-26,Hotline,C
PH0187,Nhà thuốc,2007.0,Quảng Ninh,Bắc,2020-12-02,Sales rep,C
PH0188,Nhà thuốc,1998.0,Lạng Sơn,Bắc,2024-03-11,Web portal,C
PH0189,Nhà thuốc,2018.0,,Bắc,2025-06-09,Referral,B
PH0190,Quầy thuốc,2005.0,Đồng Nai,Nam,2023-10-07,Referral,A
PH0191,Quầy thuốc,2010.0,Bà Rịa - Vũng Tàu,Nam,2020-08-15,Hotline,C
PH0192,Phòng khám,,Thái Nguyên,Bắc,2023-04-16,Sales rep,A
PH0193,Nhà thuốc,2000.0,Thanh Hóa,Trung,2020-01-01,Referral,B
PH0194,Phòng khám,2000.0,Hải Phòng,Bắc,2025-04-09,Web portal,B
PH0195,Nhà thuốc,2003.0,Quảng Nam,Trung,2023-06-06,Hotline,B
PH0196,Phòng khám,2006.0,Nghệ An,Trung,2021-10-28,Web portal,B
PH0197,Nhà thuốc,2017.0,Hải Dương,Bắc,2022-07-26,Sales rep,B
PH0198,Quầy thuốc,2007.0,Bình Định,Trung,2022-07-12,Web portal,B
PH0199,Nhà thuốc,1997.0,Đồng Nai,Nam,2023-11-19,Web portal,A
PH0200,Nhà thuốc,2015.0,Thừa Thiên Huế,Trung,2024-08-03,Hotline,B
PH0201,Quầy thuốc,1997.0,Cần Thơ,Nam,07-18-2022,Sales rep,B
PH0202,Phòng khám,2023.0,Bắc Ninh,Bắc,2023-03-29,Sales rep,A
PH0203,Nhà thuốc,2008.0,Đà Nẵng,Trung,2022-12-16,Hotline,C
PH0204,Nhà thuốc,2021.0,Bắc Ninh,Bắc,2021-02-03,Web portal,A
PH0205,Bệnh viện,2024.0,Bình Định,Trung,2024-10-18,Referral,
PH0206,Nhà thuốc,2020.0,Khánh Hòa,Trung,2024-11-08,Referral,
PH0207,Phòng khám,2007.0,Quảng Ninh,Bắc,07-01-2021,Sales rep,A
PH0208,Quầy thuốc,2003.0,,Bắc,29/05/2020,Referral,A
PH0209,Nhà thuốc,2008.0,Tiền Giang,Nam,2020-08-07,Web portal,B
PH0210,Nhà thuốc,2019.0,Long An,Nam,2021-05-09,Sales rep,A
PH0211,Bệnh viện,2000.0,Hải Phòng,Bắc,2020-06-27,Web portal,C
PH0212,Quầy thuốc,2004.0,Nghệ An,Trung,2023-11-24,Sales rep,
PH0213,Quầy thuốc,1995.0,Hải Phòng,Bắc,2024-09-18,Referral,B
PH0214,Phòng khám,2020.0,Đắk Lắk,Trung,2023-05-13,Referral,
PH0215,Phòng khám,2016.0,Nam Định,Bắc,2020-07-16,Web portal,A
PH0216,Quầy thuốc,1995.0,Hải Dương,Bắc,2023-11-04,Web portal,B
PH0217,Nhà thuốc,2013.0,Bình Dương,Nam,2024-03-09,Web portal,C
PH0218,Quầy thuốc,2018.0,Đắk Lắk,Trung,10/10/2024,Referral,A
PH0219,Phòng khám,1996.0,Đồng Nai,Nam,2021-08-07,Web portal,A
PH0220,Nhà thuốc,2011.0,Khánh Hòa,Trung,2021-03-25,Hotline,A
PH0221,Phòng khám,2002.0,Thừa Thiên Huế,Trung,2020-08-05,Hotline,B
PH0222,Quầy thuốc,2019.0,Quảng Ninh,Bắc,2022-02-12,Referral,B
PH0223,,2008.0,Quảng Nam,Trung,2020-03-22,Sales rep,C
PH0224,Phòng khám,2010.0,Đồng Nai,Nam,2025-06-16,Referral,C
PH0225,Nhà thuốc,2019.0,Thanh Hóa,Trung,2023-11-25,Web portal,B
PH0226,Phòng khám,2014.0,Cần Thơ,Nam,2023-02-22,Referral,C
PH0227,Phòng khám,2016.0,Thái Nguyên,Bắc,2024-02-04,Referral,B
PH0228,Nhà thuốc,2022.0,Khánh Hòa,Trung,2025-02-18,Web portal,C
PH0229,Quầy thuốc,2021.0,Thừa Thiên Huế,Trung,2022-03-08,Web portal,A
PH0230,Nhà thuốc,,Cần Thơ,Nam,2024-05-13,Web portal,B
PH0231,Quầy thuốc,2018.0,Quảng Nam,Trung,2024-06-06,Web portal,B
PH0232,Nhà thuốc,2005.0,Đà Nẵng,Trung,2022-11-14,,A
PH0233,Phòng khám,2019.0,Nam Định,Bắc,2023-06-11,Referral,B
PH0234,Phòng khám,2014.0,Đà Nẵng,Trung,2025-01-26,Hotline,
PH0235,Nhà thuốc,1996.0,Thái Nguyên,Bắc,2022-09-02,Hotline,A
PH0236,Nhà thuốc,2017.0,Bình Dương,Nam,29/05/2024,,A
PH0237,Quầy thuốc,,Bắc Ninh,Bắc,2024-11-11,Hotline,A
PH0238,Nhà thuốc,2007.0,Hà Nội,Bắc,2023-12-23,Sales rep,C
PH0239,Phòng khám,2022.0,An Giang,Nam,2025-01-18,Hotline,
PH0240,Quầy thuốc,2006.0,An Giang,Nam,2023-03-23,Hotline,A
PH0241,Nhà thuốc,2007.0,Bình Dương,Nam,2024-11-05,Referral,B
PH0242,Quầy thuốc,2023.0,Đà Nẵng,Trung,2024-03-24,Web portal,B
PH0243,Bệnh viện,1996.0,,Bắc,2021-10-04,Referral,B
PH0244,Quầy thuốc,2014.0,Hải Phòng,Bắc,12/02/2022,Sales rep,C
PH0245,Bệnh viện,2015.0,Long An,Nam,2025-04-25,Referral,A
PH0246,Phòng khám,2003.0,Quảng Nam,Trung,2023-07-15,Sales rep,B
PH0247,Bệnh viện,2016.0,Long An,Nam,2020-09-28,Web portal,A
PH0248,Nhà thuốc,2012.0,Hải Phòng,Bắc,2021-10-31,Referral,B
PH0249,Quầy thuốc,1999.0,Thanh Hóa,Trung,2025-06-10,Web portal,A
PH0250,Bệnh viện,2010.0,Bình Định,Trung,2023-09-10,Referral,A
PH0251,Quầy thuốc,2020.0,Bình Định,Trung,2020-09-24,Sales rep,B
PH0252,,2021.0,Khánh Hòa,Trung,2021-12-26,Sales rep,B
PH0253,Quầy thuốc,1997.0,Quảng Ninh,Bắc,2020-05-31,Sales rep,B
PH0254,Bệnh viện,2022.0,Thanh Hóa,Trung,2023-07-15,Hotline,B
PH0255,Nhà thuốc,2017.0,Thanh Hóa,Trung,2024-09-27,Hotline,A
PH0256,Quầy thuốc,2005.0,Bình Định,Trung,2025-05-27,Referral,B
PH0257,Bệnh viện,2021.0,Long An,Nam,2021-09-25,Hotline,A
PH0258,Phòng khám,2015.0,Bắc Ninh,Bắc,2024-02-15,Web portal,B
PH0259,Nhà thuốc,2001.0,Thái Nguyên,Bắc,2022-03-03,Sales rep,B
PH0260,Phòng khám,2008.0,Thái Nguyên,Bắc,08/03/2023,Hotline,B
PH0261,Nhà thuốc,2016.0,Thừa Thiên Huế,Trung,2023-05-26,Hotline,C
PH0262,Nhà thuốc,2006.0,Thừa Thiên Huế,Trung,2021-12-18,Web portal,
PH0263,Phòng khám,2006.0,TP.HCM,Nam,2024-08-05,Referral,A
PH0264,Nhà thuốc,2002.0,Bắc Ninh,Bắc,2022-08-09,Sales rep,B
PH0265,Quầy thuốc,2007.0,Bắc Ninh,Bắc,2020-12-04,Hotline,A
PH0266,Nhà thuốc,2018.0,Nghệ An,Trung,2022-12-07,Sales rep,B
PH0267,Phòng khám,,Bình Dương,Nam,14/09/2024,Sales rep,C
PH0268,Nhà thuốc,2023.0,,Bắc,2024-02-20,Hotline,B
PH0269,,2000.0,Bình Dương,Nam,2023-05-23,Web portal,B
PH0270,Phòng khám,2004.0,,Trung,2020-01-15,Referral,C
PH0271,Nhà thuốc,2005.0,Hải Phòng,Bắc,2025-01-01,Referral,B
PH0272,Nhà thuốc,2006.0,Thừa Thiên Huế,Trung,08-05-2020,Referral,B
PH0273,Quầy thuốc,2009.0,Nam Định,Bắc,2022-01-29,Hotline,A
PH0274,Nhà thuốc,1995.0,Đà Nẵng,Trung,11-13-2022,Sales rep,A
PH0275,Quầy thuốc,,Tiền Giang,Nam,2025-02-09,Hotline,C
PH0276,Nhà thuốc,,TP.HCM,Nam,2024-07-09,Web portal,A
PH0277,Nhà thuốc,2005.0,Nghệ An,Trung,2022-11-13,Web portal,C
PH0278,Phòng khám,2016.0,Hải Dương,Bắc,2023-10-07,Sales rep,B
PH0279,Quầy thuốc,1998.0,Hải Phòng,Bắc,03/06/2024,Referral,C
PH0280,Nhà thuốc,2004.0,An Giang,Nam,2021-08-05,Web portal,C
PH0281,Quầy thuốc,2013.0,Cần Thơ,Nam,10-18-2023,Web portal,A
PH0282,Phòng khám,1999.0,Đà Nẵng,Trung,2024-02-03,Sales rep,A
PH0283,Phòng khám,2011.0,Bình Định,Trung,2022-04-05,Referral,C
PH0284,Phòng khám,2013.0,Long An,Nam,2021-06-06,Sales rep,A
PH0285,Nhà thuốc,2016.0,Tiền Giang,Nam,2022-04-30,Hotline,B
PH0286,Nhà thuốc,2002.0,Tiền Giang,Nam,2024-10-28,Referral,C
PH0287,Quầy thuốc,2004.0,Long An,Nam,2020-07-12,Referral,B
PH0288,Quầy thuốc,2016.0,TP.HCM,Nam,2023-03-26,Referral,B
PH0289,Nhà thuốc,2000.0,Thừa Thiên Huế,Trung,2020-05-24,Referral,C
PH0290,Nhà thuốc,2022.0,Bình Dương,Nam,03-05-2025,Referral,C
PH0291,Nhà thuốc,1999.0,Quảng Nam,Trung,2024-07-24,Hotline,B
PH0292,Phòng khám,2016.0,Nam Định,Bắc,2020-02-15,Web portal,B
PH0293,Nhà thuốc,2013.0,Cần Thơ,Nam,2023-11-03,Sales rep,A
PH0294,Nhà thuốc,2001.0,Bà Rịa - Vũng Tàu,Nam,2020-10-18,Web portal,C
PH0295,Nhà thuốc,2024.0,Thừa Thiên Huế,Trung,2024-07-15,Sales rep,B
PH0296,Nhà thuốc,2016.0,Hải Phòng,Bắc,12-26-2022,Sales rep,A
PH0297,Nhà thuốc,2003.0,Đồng Nai,Nam,2023-02-27,Hotline,C
PH0298,Phòng khám,2009.0,,Nam,2024-08-17,Web portal,B
PH0299,Nhà thuốc,2000.0,TP.HCM,Nam,2021-04-24,Web portal,A
PH0300,Phòng khám,1997.0,TP.HCM,Nam,2024-02-29,,A
PH0301,,1800.0,Cần Thơ,Nam,07/02/2024,Referral,A
PH0302,Nhà thuốc,2002.0,Bình Dương,Nam,2020-03-13,Web portal,B
PH0303,Bệnh viện,1995.0,Thanh Hóa,Trung,20/05/2023,Referral,B
PH0304,Quầy thuốc,2003.0,Thanh Hóa,Trung,2021-08-16,Sales rep,A
PH0305,Phòng khám,1997.0,Bình Định,Trung,2023-12-17,Hotline,B
PH0306,Quầy thuốc,,Bắc Ninh,Bắc,2024-12-10,Referral,C
PH0307,Quầy thuốc,2023.0,Thanh Hóa,Trung,12/03/2023,Hotline,B
PH0308,Nhà thuốc,2003.0,Đà Nẵng,Trung,2024-02-04,Hotline,B
PH0309,???,2017.0,Long An,Nam,2025-04-04,Sales rep,B
PH0310,Quầy thuốc,2007.0,Quảng Nam,Trung,2021-09-26,,
PH0311,Quầy thuốc,2012.0,Long An,Nam,2023-12-10,Hotline,B
PH0312,Quầy thuốc,2001.0,Hải Dương,Bắc,2024-05-03,Web portal,B
PH0313,Nhà thuốc,2005.0,,Nam,2022-02-15,Hotline,
PH0314,Nhà thuốc,2022.0,Đắk Lắk,Trung,2023-10-18,Web portal,B
PH0315,Nhà thuốc,2005.0,Bình Định,Trung,2024-03-27,Hotline,C
PH0316,Quầy thuốc,2012.0,Long An,Nam,18/04/2025,Web portal,B
PH0317,,2011.0,Lạng Sơn,Bắc,2023-09-23,Web portal,B
PH0318,Quầy thuốc,2020.0,Tiền Giang,Nam,2023-12-16,Sales rep,B
