order_id,pharmacy_id,warehouse_id,order_date,payment_term,payment_method,discount_applied,order_status
O00079,PH0022,W023,2025-11-25,COD,Tiền mặt,0.0,Completed
O00080,PH0022,W015,2025-12-13,COD,Tiền mặt,0.15,Completed
O00081,PH0022,W015,2024-04-17,COD,Tiền mặt,0.0,Completed
O00082,PH0022,W023,2023-03-14,COD,Tiền mặt,0.0,
O00083,PH0022,W013,2022-10-23,COD,Tiền mặt,0.0,Completed
O00084,PH0022,W023,2025-07-06,Net30,Chuyển khoản,0.0,Completed
O00085,PH0022,W007,2022-10-03,COD,Tiền mặt,0.0,Completed
O00086,PH0022,W006,2023-01-12,COD,Tiền mặt,0.0,Cancelled
O00087,PH0022,W025,2023-09-02,COD,Tiền mặt,0.0,Completed
O00088,PH0022,W020,2024-07-30,Net60,Chuyển khoản,0.2,Completed
O00089,PH0022,W006,25/02/2023,Net30,Chuyển khoản,,Cancelled
O00090,PH0022,W012,2023-05-11,COD,Tiền mặt,0.0,Completed
O00091,PH0022,W015,2022-11-16,COD,Tiền mặt,0.0,Cancelled
O00092,PH0022,W017,2024-12-13,COD,Tiền mặt,0.0,Pending
O00093,PH0023,W012,2025-10-20,COD,,0.0,Completed
O00094,PH0023,W008,2025-07-14,Net30,Chuyển khoản,0.05,Completed
O00095,PH0024,W021,29/07/2024,COD,Tiền mặt,0.0,Cancelled
O00096,PH0025,W017,2025-01-12,COD,Tiền mặt,0.0,Pending
O00097,PH0025,W001,10/08/2024,Net30,Chuyển khoản,0.0,
O00098,PH0025,W007,2022-04-06,Net30,Chuyển khoản,0.05,Completed
O00099,PH0025,W004,2025-12-03,Net30,Chuyển khoản,0.05,Completed
O00100,PH0025,W006,16/12/2024,Net30,Chuyển khoản,0.1,Completed
O00101,PH0025,W011,2025-06-25,COD,Tiền mặt,0.05,Completed
O00102,PH0025,W018,2024-05-04,Net30,Chuyển khoản,0.1,Completed
O00103,PH0025,W022,04/11/2025,COD,Tiền mặt,0.0,Completed
O00104,PH0025,W001,2024-08-08,Net30,Chuyển khoản,0.0,Cancelled
O00105,PH0026,W003,2025-08-19,Net60,Chuyển khoản,,Completed
O00106,PH0026,W016,2025-07-29,COD,Tiền mặt,0.0,Pending
O00107,PH0026,W010,2025-06-30,Net30,Chuyển khoản,0.1,Completed
O00108,PH0027,W017,2024-08-17,COD,Tiền mặt,0.0,Completed
O00109,PH0027,W003,2023-02-24,Net30,Chuyển khoản,0.1,Completed
O00110,PH0027,W019,12/05/2024,COD,Tiền mặt,0.0,Completed
O00111,PH0027,W011,04-23-2025,Net60,Chuyển khoản,0.0,Completed
O00112,PH0027,W025,2023-10-27,Net30,Chuyển khoản,0.15,Completed
O00113,PH0028,W023,2025-09-25,Net60,Chuyển khoản,0.1,Returned
O00114,PH0029,W019,2024-04-01,COD,Bitcoin,0.15,Completed
O00115,PH0029,W019,2025-02-01,Net30,Chuyển khoản,0.0,Completed
O00116,PH0031,W015,10-17-2024,Net30,Chuyển khoản,0.0,Completed
O00117,PH0031,W020,02-12-2024,COD,Tiền mặt,0.0,Cancelled
O00118,PH0031,W014,2025-08-15,Net30,Bitcoin,0.2,Completed
O00119,PH0032,W014,2025-10-08,Net60,Chuyển khoản,0.05,Completed
O00120,PH0032,W023,03/08/2024,COD,Tiền mặt,0.0,
O00121,PH0032,W005,2024-11-14,Net30,Thẻ,0.1,Completed
O00122,PH0032,W016,2022-06-27,COD,Tiền mặt,0.0,Completed
O00123,PH0033,W021,2024-07-16,COD,Tiền mặt,0.0,Completed
O00124,PH0033,W014,2023-10-15,,Tiền mặt,0.1,Completed
O00125,PH0033,W016,2023-09-21,COD,Tiền mặt,0.05,Completed
O00126,PH0034,W002,2025-04-25,Net30,Chuyển khoản,,Completed
O00127,PH0034,W013,2025-01-05,COD,Tiền mặt,0.0,Completed
O00128,PH0034,W022,2024-06-25,COD,Tiền mặt,0.05,Completed
O00129,PH0035,W003,2024-12-29,COD,Tiền mặt,0.0,Cancelled
O00130,PH0035,W025,02-23-2025,Net60,Chuyển khoản,0.15,Completed
O00131,PH0035,W017,2025-09-25,COD,Tiền mặt,0.0,Cancelled
O00132,PH0035,W008,2024-11-23,Net30,Chuyển khoản,0.1,Completed
O00133,PH0036,W019,2023-11-22,COD,Tiền mặt,0.0,Completed
O00134,PH0036,W018,2023-11-19,Net30,Chuyển khoản,0.0,Completed
O00135,PH0036,W022,2025-07-08,COD,Tiền mặt,0.05,Returned
O00136,PH0036,W013,2024-07-08,COD,,0.05,Completed
O00137,PH0036,W019,2023-12-07,COD,Tiền mặt,0.2,Completed
O00138,PH0036,W023,2025-02-20,Net30,Chuyển khoản,0.1,Completed
O00139,PH0036,W018,2025-04-13,Net30,Chuyển khoản,0.05,
O00140,PH0036,W019,2023-12-27,COD,Tiền mặt,0.05,Completed
O00141,PH0037,W015,27/07/2022,Net30,Chuyển khoản,0.0,Completed
O00142,PH0038,W013,2024-08-22,COD,Tiền mặt,0.0,Cancelled
O00143,PH0038,W014,28/09/2024,,Tiền mặt,0.1,Completed
O00144,PH0038,W009,30/12/2025,Net60,Chuyển khoản,0.05,Completed
O00145,PH0038,W023,2025-03-12,COD,Tiền mặt,0.0,Completed
O00146,PH0038,W001,2024-04-22,COD,Tiền mặt,0.1,Completed
O00147,PH0038,W021,2025-09-10,COD,Tiền mặt,,Completed
O00148,PH0038,W003,08-30-2025,COD,Tiền mặt,0.05,Returned
O00149,PH0038,W006,2024-11-15,Net30,Thẻ,0.0,Pending
O00150,PH0038,W011,2025-01-08,COD,Tiền mặt,0.0,Completed
O00151,PH0039,W022,2024-04-24,COD,Tiền mặt,0.15,Completed
O00152,PH0039,W007,2023-06-26,Net30,Chuyển khoản,0.2,Completed
O00153,PH0039,W019,2022-12-01,Net30,Chuyển khoản,0.0,Completed
O00154,PH0039,W006,06-05-2025,,Chuyển khoản,0.05,Completed
O00155,PH0039,W006,2022-07-28,Net60,Chuyển khoản,0.15,Completed
O00156,PH0039,W009,2024-11-27,Net60,Chuyển khoản,0.0,Completed
O00157,PH0039,W004,2023-06-09,Net30,Chuyển khoản,0.0,Completed
O00158,PH0039,W024,05-06-2020,COD,Tiền mặt,0.0,
O00159,PH0039,W006,2021-10-10,COD,Tiền mặt,0.05,Completed
O00160,PH0039,W004,2021-02-21,COD,Tiền mặt,0.0,Completed
O00161,PH0039,W015,2020-07-11,Net60,Thẻ,0.0,Completed
O00162,PH0039,W008,2022-06-25,Net30,Chuyển khoản,0.1,Completed
O00163,PH0039,W017,2021-02-07,COD,,0.1,Completed
O00164,PH0039,W019,2024-07-30,COD,Tiền mặt,0.05,Completed
O00165,PH0039,W024,2023-02-09,Net60,Chuyển khoản,0.1,Completed
O00166,PH0039,W007,2022-01-28,Net60,Chuyển khoản,0.3,Returned
O00167,PH0039,W011,2024-12-24,COD,Tiền mặt,0.0,Cancelled
O00168,PH0039,W003,2025-07-26,Net30,Chuyển khoản,0.0,Completed
O00169,PH0039,W002,2025-10-20,Net60,Chuyển khoản,0.05,Completed
O00170,PH0041,W025,2024-09-14,Net30,Chuyển khoản,,Completed
O00171,PH0041,W009,2025-06-21,Net60,Thẻ,0.0,Cancelled
O00172,PH0041,W017,2024-02-20,COD,Tiền mặt,0.1,Completed
O00173,PH0041,W020,13/06/2025,COD,Tiền mặt,0.15,Completed
O00174,PH0041,W021,2024-09-08,COD,Tiền mặt,0.0,
O00175,PH0042,W020,2024-11-21,COD,Tiền mặt,0.0,Completed
O00176,PH0042,W004,2025-12-27,Net60,Chuyển khoản,0.05,Completed
O00177,PH0042,W005,2025-09-10,Net30,Chuyển khoản,0.0,
O00178,PH0042,W004,2025-11-05,Net30,Chuyển khoản,0.0,Completed
O00179,PH0044,W024,2024-04-29,,Tiền mặt,0.05,Completed
O00180,PH0045,W014,2023-11-15,Net30,Chuyển khoản,0.0,Completed
O00181,PH0045,W024,31/08/2022,COD,Tiền mặt,0.0,Completed
O00182,PH0045,W023,2025-09-30,COD,Tiền mặt,0.15,Completed
O00183,PH0046,W010,2023-01-13,Net30,Chuyển khoản,0.0,Completed
O00184,PH0046,W011,03-19-2023,Net30,Chuyển khoản,0.0,Pending
O00185,PH0048,W007,2025-03-18,Net30,Chuyển khoản,0.2,Completed
O00186,PH0048,W025,2024-11-05,Net60,Chuyển khoản,0.0,Completed
O00187,PH0048,W018,2025-12-13,,Chuyển khoản,0.05,Completed
O00188,PH0048,W001,29/12/2025,Net30,Bitcoin,0.1,Completed
O00189,PH0048,W009,2025-05-13,Net30,Chuyển khoản,0.05,Completed
O00190,PH0048,W015,2024-12-06,COD,Tiền mặt,0.0,Completed
O00191,PH0048,W017,2024-09-27,COD,Tiền mặt,0.1,Completed
O00192,PH0049,W010,2025-03-21,COD,Tiền mặt,0.3,Completed
O00193,PH0051,W008,2025-07-12,COD,Tiền mặt,0.1,Completed
O00194,PH0051,W021,06/03/2025,,Chuyển khoản,0.0,Completed
O00195,PH0051,W025,2025-07-10,COD,Tiền mặt,0.05,Completed
O00196,PH0051,W008,2024-10-07,COD,Tiền mặt,0.0,Completed
O00197,PH0051,W010,2025-12-19,Net30,Chuyển khoản,0.0,Completed
O00198,PH0052,W012,2023-02-08,Net30,Chuyển khoản,0.05,Completed
O00199,PH0052,W011,2023-06-12,Net30,Chuyển khoản,0.0,Cancelled
O00200,PH0052,W010,2023-05-27,Net60,Chuyển khoản,0.1,Completed
O00201,PH0052,W003,2025-09-27,COD,,0.0,Cancelled
O00202,PH0052,W011,2024-09-24,Net30,Chuyển khoản,0.2,Completed
O00203,PH0052,W003,01-29-2025,COD,Tiền mặt,0.0,Completed
O00204,PH0052,W010,2023-04-28,Net60,Chuyển khoản,0.0,Completed
O00205,PH0052,W010,2025-11-30,Net30,Chuyển khoản,0.0,Pending
O00206,PH0052,W005,2023-05-14,COD,Tiền mặt,0.0,Completed
O00207,PH0052,W025,2024-02-15,COD,Bitcoin,0.0,Pending
O00208,PH0052,W012,2021-02-17,COD,Tiền mặt,0.05,Completed
O00209,PH0052,W011,30/06/2025,COD,Tiền mặt,0.1,Completed
O00210,PH0052,W012,2024-07-05,Net30,Chuyển khoản,0.1,Completed
O00211,PH0052,W006,03-30-2022,Net30,Chuyển khoản,0.0,Completed
O00212,PH0052,W025,2021-05-19,Net30,Chuyển khoản,0.0,Completed
O00213,PH0052,W019,2022-06-11,COD,Tiền mặt,0.3,Completed
O00214,PH0052,W014,2024-03-29,,Tiền mặt,0.15,Completed
O00215,PH0052,W023,2023-02-18,COD,Tiền mặt,0.0,Completed
O00216,PH0052,W023,2022-07-08,Net30,Thẻ,0.0,Cancelled
O00217,PH0052,W019,13/07/2024,COD,Tiền mặt,0.15,
O00218,PH0052,W011,2022-09-18,Net30,Thẻ,0.0,Completed
O00219,PH0052,W021,2022-02-09,Net30,Chuyển khoản,0.0,Pending
O00220,PH0052,W018,2024-01-28,,Chuyển khoản,0.0,Completed
O00221,PH0052,W004,2025-09-29,COD,Tiền mặt,0.0,Completed
O00222,PH0054,W020,22/06/2024,COD,Tiền mặt,,Completed
O00223,PH0054,W015,2025-01-03,COD,Tiền mặt,0.05,Completed
O00224,PH0054,W003,2025-02-08,Net30,Chuyển khoản,0.0,Pending
O00225,PH0054,W008,12-09-2025,COD,Tiền mặt,0.3,Completed
O00226,PH0054,W010,2024-08-18,Net30,,0.0,Completed
O00227,PH0054,W020,2024-05-29,COD,Tiền mặt,0.05,Completed
O00228,PH0054,W012,2024-06-26,Net60,Chuyển khoản,0.0,Completed
O00229,PH0054,W002,2025-06-22,COD,Tiền mặt,0.1,Completed
O00230,PH0054,W010,2025-09-20,Net30,Chuyển khoản,0.0,Pending
O00231,PH0054,W014,24/07/2024,Net30,Chuyển khoản,0.1,Completed
O00232,PH0054,W016,2025-07-31,COD,Tiền mặt,0.05,Completed
O00233,PH0054,W009,10/07/2025,Net60,Chuyển khoản,0.0,Pending
O00234,PH0054,W013,2024-11-11,COD,Tiền mặt,0.0,Pending
O00235,PH0054,W009,2024-10-15,Net30,Chuyển khoản,0.0,Completed
O00236,PH0055,W023,2025-08-01,Net30,Chuyển khoản,0.1,Completed
O00237,PH0055,W014,06/11/2025,Net60,Chuyển khoản,0.1,Completed
O00238,PH0055,W009,2025-07-13,COD,Tiền mặt,0.0,Pending
O00239,PH0055,W004,2025-06-04,COD,Tiền mặt,0.0,Completed
O00240,PH0055,W011,2025-10-15,COD,Tiền mặt,0.0,Pending
O00241,PH0056,W014,2023-09-29,Net30,Chuyển khoản,0.05,Completed
O00242,PH0056,W024,12/08/2021,Net30,Chuyển khoản,0.0,Completed
O00243,PH0056,W022,2020-11-25,Net30,Chuyển khoản,0.0,Pending
O00244,PH0056,W023,28/09/2020,Net30,Chuyển khoản,0.1,Completed
O00245,PH0056,W017,2025-10-13,COD,Tiền mặt,0.05,Completed
O00246,PH0056,W017,2025-04-04,Net30,Chuyển khoản,0.0,Returned
O00247,PH0057,W015,2022-08-12,COD,,,Cancelled
O00248,PH0057,W002,2024-11-26,Net60,Chuyển khoản,,Completed
O00249,PH0057,W004,2022-06-20,COD,Tiền mặt,0.0,Completed
O00250,PH0057,W002,2024-02-23,COD,Tiền mặt,0.0,Pending
O00251,PH0057,W021,2022-01-15,Net30,Chuyển khoản,0.0,Completed
O00252,PH0058,W003,2024-04-24,Net30,Chuyển khoản,0.1,Completed
O00253,PH0058,W015,2021-07-22,COD,Tiền mặt,0.05,Completed
O00254,PH0058,W015,29/01/2025,Net60,Thẻ,0.15,Completed
O00255,PH0058,W012,2020-11-24,Net30,Chuyển khoản,0.05,Completed
O00256,PH0058,W011,2022-12-13,COD,Tiền mặt,0.1,Completed
O00257,PH0060,W018,2024-03-11,Net60,Chuyển khoản,,Completed
O00258,PH0060,W025,2025-02-10,Net30,Chuyển khoản,0.0,Completed
O00259,PH0060,W008,2025-11-20,COD,Tiền mặt,,Completed
O00260,PH0060,W021,2025-07-24,Net30,Thẻ,0.1,Completed
O00261,PH0060,W021,2025-07-12,COD,Tiền mặt,0.05,Completed
O00262,PH0060,W014,2023-07-18,COD,Tiền mặt,0.3,Completed
O00263,PH0060,W021,2024-01-24,COD,Tiền mặt,0.0,Completed
O00264,PH0060,W016,2023-05-06,COD,Tiền mặt,0.0,Pending
O00265,PH0060,W019,2025-06-15,Net30,Chuyển khoản,0.0,Completed
O00266,PH0060,W017,2025-12-15,Net30,Chuyển khoản,0.0,Pending
O00267,PH0060,W025,2023-11-27,COD,Tiền mặt,0.0,Cancelled
O00268,PH0060,W015,2025-04-15,COD,Tiền mặt,0.3,Completed
O00269,PH0060,W025,2023-05-11,COD,Tiền mặt,0.15,Completed
O00270,PH0060,W005,22/06/2025,COD,Tiền mặt,0.05,Completed
O00271,PH0060,W013,2024-05-04,COD,Tiền mặt,0.0,Pending
O00272,PH0060,W008,2023-11-18,Net30,Chuyển khoản,0.1,Completed
O00273,PH0060,W001,2023-05-20,COD,Tiền mặt,0.1,Completed
O00274,PH0061,W022,2025-03-03,COD,Tiền mặt,0.0,Completed
O00275,PH0061,W006,2024-11-13,Net30,Chuyển khoản,0.0,Completed
O00276,PH0061,W002,2025-10-29,Net60,Bitcoin,0.0,Completed
O00277,PH0061,W023,2024-12-09,Net30,Thẻ,0.05,Completed
O00278,PH0061,W018,2024-10-28,COD,Tiền mặt,0.05,Completed
O00279,PH0061,W008,2025-12-17,Net30,Chuyển khoản,0.0,Pending
O00280,PH0061,W014,2024-12-24,Net30,Chuyển khoản,0.1,Completed
O00281,PH0061,W020,2024-09-27,Net60,,0.1,Completed
O00282,PH0061,W007,2025-08-20,Net30,Chuyển khoản,0.1,Completed
O00283,PH0061,W019,2025-02-27,Net60,Chuyển khoản,,Completed
O00284,PH0061,W024,2025-04-09,Net30,Chuyển khoản,0.0,Completed
O00285,PH0061,W013,2025-10-02,Net30,Chuyển khoản,0.0,Completed
O00286,PH0061,W016,2025-12-10,Net30,Thẻ,0.0,Completed
O00287,PH0061,W003,2025-08-25,Net30,Chuyển khoản,0.0,Completed
O00288,PH0062,W009,2022-06-11,Net30,Chuyển khoản,0.2,Completed
O00289,PH0062,W011,2022-06-23,COD,,0.05,Completed
O00290,PH0062,W008,19/06/2025,Net30,Thẻ,0.1,Completed
O00291,PH0063,W014,2025-07-09,Net30,Bitcoin,0.05,Completed
O00292,PH0063,W007,2025-05-21,COD,,0.0,Pending
O00293,PH0063,W006,2024-04-29,Net60,Chuyển khoản,0.0,Completed
O00294,PH0064,W011,2023-08-27,COD,Tiền mặt,0.05,Completed
O00295,PH0064,W019,2022-09-20,COD,Tiền mặt,,Completed
O00296,PH0064,W003,2025-06-29,COD,Tiền mặt,0.05,Completed
O00297,PH0064,W012,2022-09-13,Net30,Chuyển khoản,0.05,Completed
O00298,PH0064,W017,2025-01-18,Net30,Chuyển khoản,0.05,Completed
O00299,PH0064,W020,2023-12-05,Net30,Chuyển khoản,0.0,Completed
O00300,PH0066,W018,2023-08-10,COD,Tiền mặt,,Completed
O00301,PH0066,W005,2022-11-26,COD,Tiền mặt,,Completed
O00302,PH0066,W024,2025-04-22,Net30,,0.0,Completed
O00303,PH0066,W012,16/02/2021,COD,Tiền mặt,0.15,Completed
O00304,PH0066,W015,12-14-2022,COD,Tiền mặt,0.0,Cancelled
O00305,PH0066,W019,2020-07-15,Net60,Chuyển khoản,0.0,Completed
O00306,PH0067,W009,10-06-2025,COD,Tiền mặt,0.15,Completed
O00307,PH0067,W022,2025-09-08,COD,Tiền mặt,0.0,Completed
O00308,PH0067,W017,2025-09-10,,Tiền mặt,,Completed
O00309,PH0067,W018,2025-11-17,Net60,Thẻ,,Completed
O00310,PH0067,W002,08/12/2025,COD,Tiền mặt,0.05,Completed
O00311,PH0067,W012,2025-11-25,COD,Tiền mặt,0.1,Completed
O00312,PH0067,W008,2025-09-28,,Thẻ,0.1,Returned
O00313,PH0067,W003,05-31-2025,Net60,Thẻ,0.0,Completed
O00314,PH0067,W015,2025-08-08,Net30,Chuyển khoản,0.05,Completed
O00315,PH0068,W013,2024-12-10,Net30,Thẻ,0.15,Completed
O00316,PH0068,W014,2025-06-22,Net30,Bitcoin,0.1,Completed
O00317,PH0069,W012,2024-10-18,COD,Tiền mặt,0.0,Cancelled
O00318,PH0069,W024,2024-04-22,COD,Tiền mặt,0.15,Completed
O00319,PH0069,W011,2024-10-16,Net30,Chuyển khoản,0.0,Completed
O00320,PH0069,W007,2023-04-05,COD,Tiền mặt,0.0,Cancelled
O00321,PH0069,W017,2023-05-06,Net30,Chuyển khoản,0.1,Completed
O00322,PH0069,W018,2025-02-24,Net30,Chuyển khoản,0.0,Cancelled
O00323,PH0069,W017,11-01-2025,COD,Tiền mặt,0.1,Completed
O00324,PH0070,W020,2022-03-14,Net30,Thẻ,0.1,Completed
O00325,PH0070,W011,2023-10-31,COD,Tiền mặt,0.0,
O00326,PH0070,W025,07-05-2022,Net30,Chuyển khoản,0.1,Completed
O00327,PH0070,W006,2023-09-22,Net30,Thẻ,0.05,Completed
O00328,PH0072,W022,2025-01-19,Net30,Chuyển khoản,0.05,Completed
O00329,PH0072,W016,12-03-2023,Net60,Chuyển khoản,0.2,Completed
O00330,PH0075,W009,2024-01-13,COD,Tiền mặt,0.0,Completed
O00331,PH0076,W025,2025-04-16,COD,Tiền mặt,0.15,Completed
O00332,PH0076,W011,2022-09-02,Net30,Chuyển khoản,0.0,Completed
O00333,PH0076,W019,2024-12-08,COD,Tiền mặt,0.15,Completed
O00334,PH0076,W009,2021-09-26,Net30,Chuyển khoản,0.0,Completed
O00335,PH0077,W007,09-13-2024,COD,Tiền mặt,0.15,Completed
O00336,PH0077,W025,2023-01-15,COD,Tiền mặt,0.0,Cancelled
O00337,PH0078,W012,2025-10-27,COD,Tiền mặt,0.3,Completed
O00338,PH0078,W007,09-09-2025,COD,Tiền mặt,0.0,Completed
O00339,PH0082,W020,2025-04-14,Net60,Chuyển khoản,0.1,Completed
O00340,PH0082,W013,17/08/2024,COD,Tiền mặt,0.1,Completed
O00341,PH0083,W009,2023-09-13,Net30,Chuyển khoản,0.0,Completed
O00342,PH0083,W015,2024-01-02,Net60,Thẻ,0.0,Completed
O00343,PH0083,W023,2020-09-11,Net60,Chuyển khoản,0.0,Completed
O00344,PH0083,W018,2025-06-26,Net60,Chuyển khoản,0.0,Pending
O00345,PH0083,W024,2021-11-03,Net60,Chuyển khoản,0.0,Completed
O00346,PH0083,W015,2024-11-11,Net30,Chuyển khoản,,Completed
O00347,PH0084,W025,2025-09-20,Net30,Thẻ,0.0,Completed
O00348,PH0084,W023,2024-10-03,Net30,Chuyển khoản,0.3,Completed
O00349,PH0084,W008,04-03-2025,COD,Tiền mặt,0.0,
O00350,PH0084,W018,2025-11-26,COD,Tiền mặt,0.1,Completed
O00351,PH0084,W024,2024-10-18,Net30,Thẻ,0.0,Cancelled
O00352,PH0084,W014,06-19-2025,Net60,Chuyển khoản,0.3,Completed
O00353,PH0084,W004,2024-10-04,Net60,Thẻ,0.05,Completed
O00354,PH0084,W022,2025-09-27,Net30,Thẻ,0.15,Completed
O00355,PH0084,W023,07/06/2025,COD,Tiền mặt,0.0,Completed
O00356,PH0085,W012,22/05/2025,COD,Tiền mặt,0.1,Completed
O00357,PH0085,W010,2025-08-02,Net30,Chuyển khoản,0.05,Completed
O00358,PH0085,W015,2025-08-03,,Tiền mặt,0.0,Pending
O00359,PH0087,W017,2024-05-18,Net30,Chuyển khoản,,Completed
O00360,PH0087,W022,2024-08-02,Net60,Thẻ,0.15,Completed
O00361,PH0087,W014,2023-05-29,Net30,Chuyển khoản,0.05,Completed
O00362,PH0087,W003,2022-12-29,Net60,Thẻ,0.0,Completed
O00363,PH0087,W009,2025-12-15,Net60,Thẻ,0.0,Completed
