engagement_id,pharmacy_id,contact_date,channel,engagement_type,is_responded,is_ordered,offer_value
E00121,PH0210,2023-04-11,Call,Thăm trình dược,0,0,0.0
E00122,PH0189,2025-11-30,Email,Hàng mới,0,1,71000.0
E00123,PH0007,2024-07-10,Sales rep,Hàng mới,0,0,1840000.0
E00124,PH0297,2023-08-05,,Thăm trình dược,1,1,0.0
E00125,PH0031,2024-07-10,Zalo,Hàng mới,0,0,0.0
E00126,PH0662,2025-03-05,Email,Thăm trình dược,1,0,710000.0
E00127,PH0097,2021-10-18,Email,Khuyến mãi,0,0,0.0
E00128,PH0767,2025-10-04,Sales rep,Nhắc đặt lại,0,0,284000.0
E00129,PH0363,05/05/2025,Call,Hàng mới,0,0,1873000.0
E00130,PH0449,2024-05-02,Zalo,Khuyến mãi,1,1,739000.0
E00131,PH0392,2024-11-22,Sales rep,Khuyến mãi,1,0,0.0
E00132,PH0160,2023-09-20,Sales rep,Thăm trình dược,0,0,1986000.0
E00133,PH0735,2022-11-27,Email,Khuyến mãi,0,0,632000.0
E00134,PH0293,2024-12-08,Email,Nhắc đặt lại,1,1,1339000.0
E00135,PH0218,2025-10-07,Sales rep,Khuyến mãi,0,0,1749000.0
E00136,PH0134,2024-02-25,Call,Khuyến mãi,0,0,0.0
E00137,PH0162,02-08-2025,Zalo,Khuyến mãi,0,0,799000.0
E00138,PH0309,2025-08-24,Call,Khuyến mãi,1,0,0.0
E00139,PH0037,2022-01-20,Sales rep,,0,0,600000.0
E00140,PH0409,2025-07-25,Zalo,Nhắc đặt lại,0,0,
E00141,PH0436,2025-07-03,Call,Khuyến mãi,1,0,182000.0
E00142,PH0167,2025-06-12,Call,Hàng mới,0,0,0.0
E00143,PH0559,2025-12-30,Zalo,Khuyến mãi,0,0,1683000.0
E00144,PH0636,06/12/2024,Email,Hàng mới,0,0,1737000.0
E00145,PH0741,02/12/2024,Zalo,Hàng mới,1,1,0.0
E00146,PH0133,2024-06-03,Zalo,Thăm trình dược,0,0,1151000.0
E00147,PH0451,2025-11-19,Sales rep,Hàng mới,1,0,0.0
E00148,PH0340,2023-03-25,Call,Hàng mới,0,0,0.0
E00149,PH0379,2025-06-12,Call,Hàng mới,0,0,
E00150,PH0350,2024-06-06,Call,Hàng mới,1,0,0.0
E00151,PH0046,2025-01-19,Call,Hàng mới,0,0,0.0
E00152,PH0511,11-14-2025,Pigeon,Nhắc đặt lại,1,0,1879000.0
E00153,PH0243,2024-09-13,Call,Khuyến mãi,0,0,1185000.0
E00154,PH0778,2022-02-11,Zalo,Khuyến mãi,1,1,831000.0
E00155,PH0539,21/11/2024,Pigeon,Nhắc đặt lại,0,0,0.0
E00156,PH0426,2024-08-01,Call,Hàng mới,1,1,1574000.0
E00157,PH0339,2021-10-06,Sales rep,Hàng mới,0,1,1384000.0
E00158,PH0037,2023-01-21,Call,Hàng mới,0,0,0.0
E00159,PH0625,2024-12-25,Call,Hàng mới,0,0,41000.0
E00160,PH0141,2025-08-09,Email,Hàng mới,0,0,0.0
E00161,PH0479,2024-07-01,Email,Nhắc đặt lại,1,0,0.0
E00162,PH0160,2025-06-07,Sales rep,Thăm trình dược,0,0,1410000.0
E00163,PH0111,05-05-2024,Email,Thăm trình dược,0,0,537000.0
E00164,PH0302,2022-09-25,Email,Nhắc đặt lại,1,1,0.0
E00165,PH0253,2025-08-20,Email,Khuyến mãi,1,0,
E00166,PH0474,01-22-2024,Sales rep,Thăm trình dược,1,0,0.0
E00167,PH0132,2023-08-18,Call,Nhắc đặt lại,0,0,0.0
E00168,PH0209,26/12/2025,Email,Hàng mới,0,0,
E00169,PH0490,2023-03-17,Zalo,Khuyến mãi,1,0,516000.0
E00170,PH0234,2025-10-06,Sales rep,Hàng mới,TRUE,1,0.0
E00171,PH0508,2025-09-08,Email,Thăm trình dược,1,1,254000.0
E00172,PH0358,2024-10-06,Email,Khuyến mãi,0,0,835000.0
E00173,PH0463,2024-11-21,Call,Thăm trình dược,1,0,0.0
E00174,PH0136,2025-02-01,Zalo,Nhắc đặt lại,1,0,1602000.0
E00175,PH0548,2022-08-29,Sales rep,Khuyến mãi,0,0,
E00176,PH0716,2025-11-04,Pigeon,Thăm trình dược,0,0,0.0
E00177,PH0516,2025-02-15,Sales rep,Khuyến mãi,0,0,0.0
E00178,PH0349,2024-01-04,Sales rep,Hàng mới,0,0,1826000.0
E00179,PH0700,18/02/2025,Zalo,Khuyến mãi,0,0,1019000.0
E00180,PH0259,2024-05-31,Call,Khuyến mãi,1,1,1019000.0
E00181,PH0324,06-09-2023,Zalo,Thăm trình dược,0,0,0.0
E00182,PH0577,2025-10-04,Email,Nhắc đặt lại,0,0,1173000.0
E00183,PH0312,2025-05-14,Sales rep,Nhắc đặt lại,1,0,529000.0
E00184,PH0563,2023-10-02,Call,Thăm trình dược,1,0,1686000.0
E00185,PH0517,2025-07-04,Email,Hàng mới,0,0,1643000.0
E00186,PH0557,2024-09-18,Call,Khuyến mãi,1,1,0.0
E00187,PH0368,2022-09-19,Email,Thăm trình dược,1,1,918000.0
E00188,PH0597,2022-04-05,Zalo,Nhắc đặt lại,1,0,1830000.0
E00189,PH0726,2025-05-31,Sales rep,Thăm trình dược,1,0,0.0
E00190,PH0164,2023-03-11,Call,Thăm trình dược,1,0,720000.0
E00191,PH0515,29/07/2025,Zalo,Thăm trình dược,1,0,1798000.0
E00192,PH0216,2025-03-25,Sales rep,Thăm trình dược,1,0,1136000.0
E00193,PH0029,2023-08-11,Call,Hàng mới,1,0,568000.0
E00194,PH0627,2025-12-05,Email,Hàng mới,Yes,0,330000.0
E00195,PH0545,2023-09-17,Call,Thăm trình dược,1,0,0.0
E00196,PH0304,28/04/2025,Zalo,Thăm trình dược,1,0,1254000.0
E00197,PH0722,10/05/2022,Email,Khuyến mãi,Yes,0,0.0
E00198,PH0164,28/01/2024,Sales rep,Thăm trình dược,1,0,1929000.0
E00199,PH0012,2025-11-04,Email,Thăm trình dược,1,1,2000000.0
E00200,PH0096,2025-01-05,,Khuyến mãi,1,0,1612000.0
E00201,PH0642,12/10/2024,Email,Nhắc đặt lại,0,0,0.0
E00202,PH0587,2024-08-14,Call,Hàng mới,1,1,108000.0
E00203,PH0381,25/08/2023,,Thăm trình dược,1,1,0.0
E00204,PH0753,04-09-2025,Zalo,Hàng mới,1,0,1966000.0
E00205,PH0767,2024-08-03,Zalo,Thăm trình dược,1,1,864000.0
E00206,PH0788,07/08/2025,Zalo,Khuyến mãi,1,0,0.0
E00207,PH0557,2024-12-25,Call,Thăm trình dược,0,0,339000.0
E00208,PH0089,16/11/2025,Sales rep,Thăm trình dược,1,0,0.0
E00209,PH0344,2024-08-18,Sales rep,Khuyến mãi,1,1,38000.0
E00210,PH0442,01-16-2023,Sales rep,Hàng mới,1,0,117000.0
E00211,PH0331,22/02/2023,Email,Nhắc đặt lại,0,0,1513000.0
E00212,PH0198,13/05/2024,Call,Hàng mới,1,1,309000.0
E00213,PH0065,2025-08-20,Email,Khuyến mãi,0,0,1723000.0
E00214,PH0662,05/07/2025,Sales rep,Khuyến mãi,1,0,1061000.0
E00215,PH0171,2020-07-06,,Hàng mới,0,0,1908000.0
E00216,PH0428,2025-12-01,Email,Hàng mới,0,0,0.0
E00217,PH0302,2024-08-05,Zalo,Thăm trình dược,1,0,760000.0
E00218,PH0643,2025-10-07,Call,Thăm trình dược,1,0,0.0
E00219,PH0269,2024-01-07,Call,Hàng mới,1,1,484000.0
E00220,PH0165,2024-12-13,Call,Khuyến mãi,Yes,0,578000.0
E00221,PH0494,2024-03-02,Email,Nhắc đặt lại,0,0,268000.0
E00222,PH0231,07-23-2024,Sales rep,Nhắc đặt lại,1,1,0.0
E00223,PH0607,2023-08-28,Call,Nhắc đặt lại,1,0,
E00224,PH0687,2025-04-15,Email,Nhắc đặt lại,0,1,1469000.0
E00225,PH0203,12-04-2024,Email,Khuyến mãi,1,0,1737000.0
E00226,PH0322,2022-03-08,Sales rep,Hàng mới,0,0,0.0
E00227,PH0068,2024-06-28,Pigeon,Thăm trình dược,0,0,0.0
E00228,PH0014,2024-02-11,Call,Nhắc đặt lại,1,0,0.0
E00229,PH0056,2025-08-04,Call,Hàng mới,1,1,779000.0
E00230,PH0199,2025-04-10,Zalo,Hàng mới,0,0,0.0
E00231,PH0081,2025-04-13,Sales rep,Khuyến mãi,1,0,0.0
E00232,PH0168,2025-05-09,Sales rep,Nhắc đặt lại,1,1,1733000.0
E00233,PH0462,2023-04-07,Call,Nhắc đặt lại,1,0,407000.0
E00234,PH0599,15/12/2025,Zalo,Hàng mới,1,0,581000.0
E00235,PH0616,2025-12-03,Call,Hàng mới,0,0,1528000.0
E00236,PH0754,2021-01-13,Call,Nhắc đặt lại,0,0,1178000.0
E00237,PH0624,2024-03-09,Sales rep,Hàng mới,0,0,0.0
E00238,PH0223,2023-09-24,Call,Nhắc đặt lại,0,0,0.0
E00239,PH0505,2025-10-10,Call,Nhắc đặt lại,0,0,1968000.0
E00240,PH0476,2025-10-05,Zalo,Khuyến mãi,1,0,0.0
E00241,PH0169,2024-06-28,Call,Hàng mới,1,0,1437000.0
E00242,PH0175,2024-07-12,Sales rep,Thăm trình dược,1,0,0.0
E00243,PH0446,2024-05-13,Sales rep,Nhắc đặt lại,0,1,56000.0
E00244,PH0662,2025-07-01,Sales rep,Nhắc đặt lại,0,0,0.0
E00245,PH0609,2022-06-18,Call,Thăm trình dược,0,0,0.0
E00246,PH0699,2025-01-16,Zalo,Khuyến mãi,1,0,0.0
E00247,PH0764,2025-12-23,Email,Khuyến mãi,1,0,405000.0
E00248,PH0623,2025-06-07,Sales rep,Hàng mới,0,0,1550000.0
E00249,PH0494,2023-12-05,Sales rep,Thăm trình dược,0,0,1300000.0
E00250,PH0066,2024-09-22,Sales rep,Khuyến mãi,1,1,1142000.0
E00251,PH0552,2023-03-23,Sales rep,Hàng mới,1,0,305000.0
E00252,PH0553,07/02/2022,Call,,1,0,0.0
E00253,PH0403,2024-03-13,Sales rep,,0,0,0.0
E00254,PH0360,28/08/2023,Email,,0,0,0.0
E00255,PH0800,13/10/2022,Zalo,Hàng mới,1,0,
E00256,PH0626,2024-05-23,Call,Nhắc đặt lại,1,1,959000.0
E00257,PH0218,2024-11-26,,Thăm trình dược,0,0,1490000.0
E00258,PH0035,2024-12-21,Sales rep,Thăm trình dược,0,0,
E00259,PH0754,13/09/2021,Zalo,Khuyến mãi,1,0,0.0
E00260,PH0438,2025-08-19,,Nhắc đặt lại,1,0,842000.0
E00261,PH0028,2024-08-13,Email,Khuyến mãi,1,0,386000.0
E00262,PH0745,2021-11-01,Email,Hàng mới,1,1,936000.0
E00263,PH0684,2025-08-31,Zalo,Nhắc đặt lại,Yes,1,711000.0
E00264,PH0212,2025-02-23,Zalo,Nhắc đặt lại,0,0,416000.0
E00265,PH0220,07/09/2024,Zalo,,0,0,877000.0
E00266,PH0717,2024-02-17,Call,Hàng mới,0,0,993000.0
E00267,PH0692,2024-12-09,Pigeon,,1,0,
E00268,PH0301,2024-12-24,Call,Thăm trình dược,0,0,
E00269,PH0761,2023-01-18,Call,Nhắc đặt lại,1,0,804000.0
E00270,PH0768,2023-11-06,Email,,1,0,0.0
E00271,PH0669,2024-06-02,Email,Khuyến mãi,1,1,0.0
E00272,PH0550,2025-05-21,Call,Thăm trình dược,0,0,1128000.0
E00273,PH0744,11-17-2025,Sales rep,Thăm trình dược,1,0,980000.0
E00274,PH0522,2025-08-15,Call,Thăm trình dược,0,0,0.0
E00275,PH0605,30/06/2024,Sales rep,Khuyến mãi,1,0,0.0
E00276,PH0378,2021-11-25,Call,Khuyến mãi,1,0,1872000.0
E00277,PH0741,2025-05-04,Zalo,Hàng mới,1,1,0.0
E00278,PH0004,02/07/2023,,Hàng mới,0,0,0.0
E00279,PH0545,2023-12-17,Sales rep,Thăm trình dược,1,1,0.0
E00280,PH0205,2024-11-15,Sales rep,Nhắc đặt lại,0,0,968000.0
E00281,PH0741,2022-09-21,Email,Hàng mới,0,0,1266000.0
E00282,PH0473,2022-06-15,Sales rep,Hàng mới,Yes,0,1645000.0
E00283,PH0058,2024-08-05,Email,Nhắc đặt lại,0,0,0.0
E00284,PH0107,2025-09-06,,Thăm trình dược,0,0,1751000.0
E00285,PH0132,2024-07-26,Zalo,Hàng mới,0,1,799000.0
E00286,PH0685,2025-01-27,Call,Hàng mới,0,0,0.0
E00287,PH0081,2025-09-03,Sales rep,Khuyến mãi,0,0,56000.0
E00288,PH0050,2024-04-03,Call,Khuyến mãi,1,0,
E00289,PH0014,2023-11-28,Zalo,Thăm trình dược,1,0,1988000.0
E00290,PH0184,2025-09-07,Zalo,Nhắc đặt lại,0,0,25000.0
E00291,PH0684,2025-10-01,,Hàng mới,1,0,0.0
E00292,PH0225,2024-02-20,Sales rep,Hàng mới,0,0,1790000.0
E00293,PH0363,2025-05-19,Call,Hàng mới,1,0,0.0
E00294,PH0325,2025-03-04,,Thăm trình dược,0,0,1083000.0
E00295,PH0633,03/07/2021,Email,Nhắc đặt lại,0,0,0.0
E00296,PH0468,2024-07-24,Zalo,Hàng mới,0,0,1775000.0
E00297,PH0693,2025-07-31,Sales rep,Hàng mới,1,1,0.0
E00298,PH0627,2025-12-16,Call,Thăm trình dược,0,0,0.0
E00299,PH0290,2025-10-16,Email,Khuyến mãi,0,0,880000.0
E00300,PH0023,2025-08-14,Zalo,Nhắc đặt lại,1,0,1831000.0
E00301,PH0188,16/05/2025,Pigeon,,0,0,0.0
E00302,PH0740,2024-02-19,Call,Hàng mới,0,0,
E00303,PH0769,23/11/2024,Zalo,Thăm trình dược,0,0,0.0
E00304,PH0054,2024-08-31,Call,Thăm trình dược,0,0,0.0
E00305,PH0408,2025-12-21,,Hàng mới,0,0,1013000.0
E00306,PH0395,2021-09-21,Call,Khuyến mãi,0,0,873000.0
E00307,PH0011,2024-08-31,Sales rep,Khuyến mãi,1,0,294000.0
E00308,PH0771,17/06/2023,Email,Hàng mới,1,1,719000.0
E00309,PH0714,2022-06-23,Zalo,Khuyến mãi,0,0,151000.0
E00310,PH0624,2025-12-29,Zalo,Thăm trình dược,0,0,0.0
E00311,PH0654,2025-07-17,Sales rep,,1,0,
E00312,PH0243,2025-09-08,Email,Hàng mới,1,0,0.0
E00313,PH0400,2025-12-18,,Thăm trình dược,TRUE,0,0.0
E00314,PH0531,2025-11-23,Call,Nhắc đặt lại,1,1,0.0
E00315,PH0475,2025-12-17,Sales rep,Hàng mới,1,1,144000.0
E00316,PH0112,2022-12-05,Pigeon,Khuyến mãi,Yes,0,246000.0
E00317,PH0530,2024-09-12,Call,Hàng mới,0,0,0.0
E00318,PH0735,05/06/2023,,Hàng mới,1,0,0.0
E00319,PH0224,2025-12-13,Zalo,Thăm trình dược,0,0,1146000.0
E00320,PH0008,2022-02-09,Email,Nhắc đặt lại,0,0,390000.0
E00321,PH0218,27/01/2025,Call,,0,0,805000.0
E00322,PH0236,26/03/2025,Call,Khuyến mãi,0,0,0.0
E00323,PH0557,2021-08-20,Email,Nhắc đặt lại,0,0,0.0
E00324,PH0691,2025-07-01,Sales rep,Hàng mới,1,1,0.0
E00325,PH0092,2024-04-02,Zalo,Thăm trình dược,1,0,0.0
E00326,PH0549,2024-02-24,Sales rep,Thăm trình dược,1,0,0.0
E00327,PH0352,2024-01-30,Sales rep,Hàng mới,1,1,
E00328,PH0683,2025-06-10,Sales rep,Nhắc đặt lại,0,0,682000.0
E00329,PH0294,2021-04-24,Pigeon,Nhắc đặt lại,0,0,0.0
E00330,PH0172,2023-03-02,Zalo,Hàng mới,1,0,0.0
E00331,PH0223,2020-12-21,Call,Hàng mới,0,0,0.0
E00332,PH0627,2024-10-05,Email,Nhắc đặt lại,1,0,1511000.0
E00333,PH0770,2022-06-15,Sales rep,Khuyến mãi,1,0,0.0
E00334,PH0517,2025-06-16,Call,,0,0,727000.0
E00335,PH0673,2023-10-19,Sales rep,Nhắc đặt lại,0,0,504000.0
E00336,PH0141,2024-01-10,Email,Khuyến mãi,0,0,591000.0
E00337,PH0670,2020-08-30,,Thăm trình dược,1,1,0.0
E00338,PH0015,2025-02-08,Pigeon,Nhắc đặt lại,1,0,1939000.0
E00339,PH0683,2024-08-19,Zalo,Nhắc đặt lại,1,1,1554000.0
E00340,PH0637,2025-12-15,Email,Khuyến mãi,0,0,0.0
E00341,PH0428,2024-04-18,Email,Hàng mới,1,1,0.0
E00342,PH0012,2024-11-29,Email,Thăm trình dược,1,0,
E00343,PH0266,2023-02-02,Sales rep,Thăm trình dược,0,0,114000.0
E00344,PH0157,2022-07-22,Zalo,Nhắc đặt lại,1,1,0.0
E00345,PH0602,2025-07-26,Email,Hàng mới,0,0,1570000.0
E00346,PH0639,2023-12-04,Sales rep,Nhắc đặt lại,1,0,78000.0
E00347,PH0688,23/06/2023,Sales rep,Thăm trình dược,1,0,0.0
E00348,PH0752,2023-12-24,Email,Nhắc đặt lại,0,0,1173000.0
E00349,PH0444,2024-12-04,Email,Thăm trình dược,1,0,1575000.0
E00350,PH0349,2025-01-23,Sales rep,Hàng mới,0,0,0.0
E00351,PH0764,2025-09-22,Call,Thăm trình dược,0,0,1073000.0
E00352,PH0110,2024-07-09,Email,Khuyến mãi,0,1,541000.0
E00353,PH0017,2022-11-08,Zalo,Nhắc đặt lại,0,1,0.0
E00354,PH0679,06/09/2024,Call,Thăm trình dược,0,0,591000.0
E00355,PH0742,2024-12-17,Email,Hàng mới,1,0,1169000.0
E00356,PH0077,2024-12-04,Call,Thăm trình dược,1,0,1250000.0
E00357,PH0396,16/02/2020,Email,Hàng mới,1,0,0.0
E00358,PH0664,2025-09-19,Call,Thăm trình dược,1,0,1474000.0
E00359,PH0093,2024-04-12,Call,Nhắc đặt lại,0,0,0.0
E00360,PH0582,2025-04-27,Email,Nhắc đặt lại,0,0,0.0
E00361,PH0749,06-30-2025,,Khuyến mãi,0,0,135000.0
E00362,PH0415,2025-08-02,Call,Khuyến mãi,1,0,1346000.0
E00363,PH0536,2025-12-07,Email,Nhắc đặt lại,0,0,1056000.0
E00364,PH0723,2024-10-24,Zalo,Thăm trình dược,1,0,1172000.0
E00365,PH0349,2025-04-01,Zalo,Nhắc đặt lại,1,1,0.0
E00366,PH0004,2025-08-06,Call,,0,0,1134000.0
E00367,PH0479,2024-12-28,Zalo,Hàng mới,0,0,0.0
E00368,PH0622,2025-02-25,Sales rep,Hàng mới,1,0,0.0
E00369,PH0634,2024-04-18,Zalo,Hàng mới,1,0,0.0
E00370,PH0051,2025-10-24,Sales rep,Thăm trình dược,0,0,0.0
E00371,PH0439,12-13-2023,Email,Thăm trình dược,1,0,0.0
